Name,GPU_Brand,GPU_Chipset,Model,Memory_Size,Memory_Type,Base_Clock,Boost_Clock,TDP,Interface,Length,Cooling_Type,Power_Connectors,SLI_Support,CrossFire_Support,DisplayPort,HDMI,G-SYNC_Support,FreeSync_Support,Expansion_Slots,Seller_Product_URL,Price
ASUS Dual GeForce RTX 407022nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=2323037061&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FASUS-Dual-GeForce-RTX-4070-12GB-GDDR6X-IP5X-Auto-Extreme-Technology-144-Hour-Validation-Program-HDMI-2-1a-DP-1-4a-DUAL-RTX4070-12G%2F2323037061&intsrc=CATF_9768,599.99
ASUS Dual GeForce RTX 4070 OC Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-o12g90YV0IZ2-M0AA00,12.0,GDDR6X,1920.0,2550.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1759044-REG/asus_dual_rtx4070_o12g_geforce_rtx_4070_dual.html/BI/21936/KBID/28297,559.99
ASUS Dual GeForce RTX 4070 OC Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-o12g90YV0IZ2-M0AA00,12.0,GDDR6X,1920.0,2550.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6540001&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6540001%2Fpdp&intsrc=CATF_4831,559.99
ASUS Dual GeForce RTX 4070 OC Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-o12g90YV0IZ2-M0AA00,12.0,GDDR6X,1920.0,2550.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=2446803882&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FAsus-NVIDIA-GeForce-RTX-4070-Graphic-Card-12-GB-GDDR6X%2F2446803882&intsrc=CATF_9768,559.99
ASUS Dual GeForce RTX 4070 OC Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-o12g90YV0IZ2-M0AA00,12.0,GDDR6X,1920.0,2550.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126638%26ignorebbr%3d1,649.99
ASUS Dual GeForce RTX 4070 SUPER EVO16th / 101,NVIDIA,GeForce RTX 4070 SUPER,dual-rtx4070s-12g-evo,12.0,GDDR6X,1980.0,2505.0,220.0,PCIe x16,227.0,2 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126736%26ignorebbr%3d1,649.99
ASUS Dual GeForce RTX 4070 SUPER White Edition16th / 101,NVIDIA,GeForce RTX 4070 SUPER,dual-rtx4070s-12g-white,12.0,GDDR6X,1980.0,2505.0,220.0,PCIe x16,267.0,2 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126720%26ignorebbr%3d1,609.99
ASUS Dual GeForce RTX 4070 SUPER White Edition16th / 101,NVIDIA,GeForce RTX 4070 SUPER,dual-rtx4070s-12g-white,12.0,GDDR6X,1980.0,2505.0,220.0,PCIe x16,267.0,2 Fans,116.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1820241-REG/asus_dual_rtx4070s_12g_white_dual_geforce_rtx_4070.html/BI/21936/KBID/28297,609.99
ASUS Dual GeForce RTX 4070 White Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g-white,12.0,GDDR6X,2475.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126646%26ignorebbr%3d1,579.99
ASUS Dual GeForce RTX 4070 White Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g-white,12.0,GDDR6X,2475.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://goto.walmart.com/c/2632153/1285387/9383?prodsku=3408669472&u=https%3A%2F%2Fwww.walmart.com%2Fip%2FASUS-Dual-GeForce-RTX-4070-White-Edition-12GB-GDDR6X-PCIe-4-0-GDDR6X-DLSS-3-HDMI-2-1-DisplayPort-1-4a-2-56-slot-design-Axial-tech-fan-0dB-technology%2F3408669472&intsrc=CATF_9768,609.99
ASUS Dual GeForce RTX 4070 White Edition22nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g-white,12.0,GDDR6X,2475.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1765576-REG/asus_dual_rtx4070_12g_white_dual_geforce_rtx_4070.html/BI/21936/KBID/28297,609.99
