Name,Brand,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Seller,Seller_Product_URL,Availability,Price
Intel Core i9-9820X167th / 575,Intel,BX80673I99820X,10.0,20.0,3300.0,3.3,LGA2066,165.0,5.0,14 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KFS7970%26ignorebbr%3d1,In Stock,548.0
Intel Core i9-9820X167th / 575,Intel,BX80673I99820X,10.0,20.0,3300.0,3.3,LGA2066,165.0,5.0,14 nm,,No,Amazon.com,https://www.amazon.com/dp/B07KCCH7JL?tag=pangoly0b-20,In Stock,619.25
Intel Core i9-9900111th / 575,Intel,BX80684I99900,8.0,16.0,5.0,5000.0,LGA1151,65.0,16.0,14 nm,Intel UHD Graphics 630,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KFS7289%26ignorebbr%3d1,In Stock,499.0
Intel Core i9-9900 OEM,Intel,CM8068403874032,6.0,16.0,3.1,5000.0,LGA1151,65.0,16.0,14 nm,Intel UHD Graphics 630,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAM4SGMK9966%26ignorebbr%3d1,Out of Stock,490.0
Intel Core i9-9900K111th / 575,Intel,BX80684I99900K,8.0,16.0,3.6,5000.0,LGA1151,95.0,16.0,14 nm,Intel UHD Graphics 630,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KFS7128%26ignorebbr%3d1,In Stock,438.0
Intel Core i9-9900K111th / 575,Intel,BX80684I99900K,8.0,16.0,3.6,5000.0,LGA1151,95.0,16.0,14 nm,Intel UHD Graphics 630,No,Amazon.com,https://www.amazon.com/dp/B005404P9I?tag=pangoly0b-20,In Stock,449.0
Intel Core i9-9900K OEM,Intel,CM8068403873914,8.0,16.0,3.6,5000.0,H4,95.0,16.0,14 nm,Intel UHD Graphics 630,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAMG8K7W3970%26ignorebbr%3d1,Out of Stock,835.49
Intel Core i9-9900K Standard Packaging,Intel,BX806849900K,8.0,16.0,5.0,5000.0,LGA1151,95.0,16.0,14 nm,Intel UHD Graphics 630,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KFP0204%26ignorebbr%3d1,In Stock,399.0
Intel Core i9-9900K Standard Packaging,Intel,BX806849900K,8.0,16.0,5.0,5000.0,LGA1151,95.0,16.0,14 nm,Intel UHD Graphics 630,No,Amazon.com,https://www.amazon.com/dp/B089J731BX?tag=pangoly0b-20,In Stock,449.0
Intel Core i9-9900KF111th / 575,Intel,BX80684I99900KF,8.0,16.0,3600.0,3.6,LGA1151,95.0,16.0,14 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KFP0192%26ignorebbr%3d1,In Stock,369.0
Intel Core i9-9900KF111th / 575,Intel,BX80684I99900KF,8.0,16.0,3600.0,3.6,LGA1151,95.0,16.0,14 nm,,No,Amazon.com,https://www.amazon.com/dp/B07MGBZWDZ?tag=pangoly0b-20,In Stock,399.0
Intel Core i9-9900KS111th / 575,Intel,BX80684I99900KS,8.0,16.0,4000.0,5.0,LGA1151,127.0,16.0,14 nm,Intel UHD Graphics 630,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KFS7308%26ignorebbr%3d1,In Stock,508.0
Intel Core i9-9900KS111th / 575,Intel,BX80684I99900KS,8.0,16.0,4000.0,5.0,LGA1151,127.0,16.0,14 nm,Intel UHD Graphics 630,No,Amazon.com,https://www.amazon.com/dp/B07YP3J7ZM?tag=pangoly0b-20,In Stock,1389.0
Intel Core i9-9900X149th / 575,Intel,BX80673I99900X,10.0,20.0,3500.0,3.5,LGA2066,165.0,25.0,14 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBZW0KH78184%26ignorebbr%3d1,In Stock,300.0
